datevec,Sea,Temp,IceSAt,IceSAtmas1,IceSAtmas2
1895m1,-137.3,-.58,11934234,11956412,12173372
1895m2,-133.3,-.52,11956412,12173372,12261368
1895m3,-138.4,-.33,12173372,12261368,12281632
1895m4,-139.8,-.29,12261368,12281632,12320967
1895m5,-146.4,-.31,12281632,12320967,12201249
1895m6,-140.7,-.23,12320967,12201249,12007053
1895m7,-139.4,-.22,12201249,12007053,12182435
1895m8,-135.8,-.2,12007053,12182435,11949648
1895m9,-137.8,-.13,12182435,11949648,11972136
1895m10,-130.7,-.18,11949648,11972136,11960219
1895m11,-134.2,-.15,11972136,11960219,11931129
1895m12,-137.2,-.22,11960219,11931129,11942571
1896m1,-146.8,-.28,11931129,11942571,12118818
1896m2,-156.8,-.22,11942571,12118818,12137597
1896m3,-153.8,-.34,12118818,12137597,12006988
1896m4,-148.8,-.4,12137597,12006988,11929285
1896m5,-142.5,-.19,12006988,11929285,11642986
1896m6,-133.7,-.16,11929285,11642986,12016577
1896m7,-136.4,-.1,11642986,12016577,12074646
1896m8,-137.3,-.16,12016577,12074646,12162363
1896m9,-142.6,-.13,12074646,12162363,11949783
1896m10,-145.3,-.04,12162363,11949783,11940204
1896m11,-148.1,-.18,11949783,11940204,11921677
1896m12,-150.5,-.15,11940204,11921677,11924278
1897m1,-147.9,-.25,11921677,11924278,11927280
1897m2,-148.2,-.22,11924278,11927280,11585617
1897m3,-142.3,-.22,11927280,11585617,11423993
1897m4,-140.6,-.1,11585617,11423993,11682882
1897m5,-131,-.07,11423993,11682882,12100470
1897m6,-129.2,-.15,11682882,12100470,11973809
1897m7,-125.5,-.08,12100470,11973809,11794111
1897m8,-128.2,-.11,11973809,11794111,11902519
1897m9,-134.9,-.17,11794111,11902519,11931180
1897m10,-141.9,-.15,11902519,11931180,11925592
1897m11,-156.5,-.23,11931180,11925592,11900674
1897m12,-153.9,-.2,11925592,11900674,11910118
1898m1,-147.4,-.1,11900674,11910118,11804739
1898m2,-132.9,-.3,11910118,11804739,11726781
1898m3,-125,-.53,11804739,11726781,11542790
1898m4,-123.3,-.29,11726781,11542790,11634256
1898m5,-122,-.39,11542790,11634256,11620698
1898m6,-128.1,-.22,11634256,11620698,11787194
1898m7,-131.8,-.24,11620698,11787194,11723737
1898m8,-137.9,-.25,11787194,11723737,11905889
1898m9,-135.8,-.25,11723737,11905889,11923098
1898m10,-130.7,-.33,11905889,11923098,11905170
1898m11,-126.8,-.43,11923098,11905170,11873312
1898m12,-125.7,-.31,11905170,11873312,11891830
1899m1,-125.1,-.26,11873312,11891830,11842463
1899m2,-127.4,-.4,11891830,11842463,11978255
1899m3,-126.4,-.33,11842463,11978255,12132949
1899m4,-123.4,-.19,11978255,12132949,12089987
1899m5,-126.3,-.19,12132949,12089987,11711884
1899m6,-127,-.31,12089987,11711884,11746665
1899m7,-130.3,-.13,11711884,11746665,12045985
1899m8,-124.2,-.1,11746665,12045985,11913172
1899m9,-118.5,-.11,12045985,11913172,11924394
1899m10,-112.7,-.05,11913172,11924394,11894529
1899m11,-115.5,.08,11924394,11894529,11858717
1899m12,-120.9,-.32,11894529,11858717,11881348
1900m1,-127.3,-.37,11858717,11881348,11851315
1900m2,-129.2,.02,11881348,11851315,11772880
1900m3,-127.9,-.04,11851315,11772880,12043935
1900m4,-128.2,-.13,11772880,12043935,12149300
1900m5,-125.7,-.1,12043935,12149300,12068527
1900m6,-126.6,-.12,12149300,12068527,12013104
1900m7,-128.9,-.13,12068527,12013104,11944190
1900m8,-127.1,-.13,12013104,11944190,11946544
1900m9,-133.5,-.08,11944190,11946544,11952685
1900m10,-128.6,-.02,11946544,11952685,11884948
1900m11,-130.5,-.17,11952685,11884948,12235152
1900m12,-128.5,-.11,11884948,12235152,11893635
1901m1,-131.2,-.26,12235152,11893635,12011911
1901m2,-133.1,-.05,11893635,12011911,12100597
1901m3,-133.4,-.02,12011911,12100597,11946490
1901m4,-129.4,-.07,12100597,11946490,11696529
1901m5,-133.4,-.18,11946490,11696529,12113420
1901m6,-132.1,-.15,11696529,12113420,11882274
1901m7,-134.6,-.2,12113420,11882274,11776038
1901m8,-129.4,-.2,11882274,11776038,11756677
1901m9,-125.4,-.23,11776038,11756677,11830559
1901m10,-122.5,-.29,11756677,11830559,12049481
1901m11,-121,-.25,11830559,12049481,11938131
1901m12,-121.7,-.29,12049481,11938131,11732848
1902m1,-121,-.17,11938131,11732848,12332378
1902m2,-120.5,.02,11732848,12332378,12201733
1902m3,-121.7,-.26,12332378,12201733,12020061
1902m4,-126.4,-.28,12201733,12020061,12089784
1902m5,-130.7,-.32,12020061,12089784,12190558
1902m6,-131.3,-.33,12089784,12190558,12339196
1902m7,-130.1,-.21,12190558,12339196,12708682
1902m8,-126.2,-.3,12339196,12708682,12107029
1902m9,-122.8,-.29,12708682,12107029,11952968
1902m10,-120.2,-.35,12107029,11952968,11826091
1902m11,-119.7,-.43,11952968,11826091,11769329
1902m12,-121.2,-.47,11826091,11769329,11817640
1903m1,-119.6,-.27,11769329,11817640,11885890
1903m2,-120.1,.04,11817640,11885890,11742627
1903m3,-113.4,-.17,11885890,11742627,11748538
1903m4,-108.7,-.37,11742627,11748538,11791174
1903m5,-108.2,-.34,11748538,11791174,11844879
1903m6,-109,-.44,11791174,11844879,11684174
1903m7,-114.6,-.29,11844879,11684174,11649358
1903m8,-117.9,-.4,11684174,11649358,11756616
1903m9,-122,-.45,11649358,11756616,11800586
1903m10,-119,-.43,11756616,11800586,11784073
1903m11,-122.6,-.34,11800586,11784073,11767219
1903m12,-119.9,-.46,11784073,11767219,11928397
1904m1,-124.3,-.57,11767219,11928397,11849998
1904m2,-116.6,-.47,11928397,11849998,11571713
1904m3,-121.3,-.37,11849998,11571713,11635536
1904m4,-121.7,-.45,11571713,11635536,11648340
1904m5,-126.7,-.43,11635536,11648340,11405333
1904m6,-125,-.34,11648340,11405333,11718163
1904m7,-128.6,-.34,11405333,11718163,11993251
1904m8,-129.6,-.35,11718163,11993251,11887893
1904m9,-131,-.4,11993251,11887893,11842574
1904m10,-130,-.33,11887893,11842574,11820081
1904m11,-130.7,-.13,11842574,11820081,11824861
1904m12,-133.2,-.22,11820081,11824861,11712690
1905m1,-136.4,-.31,11824861,11712690,11615539
1905m2,-138.5,-.5600000000000001,11712690,11615539,11797270
1905m3,-138,-.23,11615539,11797270,11638644
1905m4,-136.5,-.36,11797270,11638644,11692543
1905m5,-134.4,-.31,11638644,11692543,11646259
1905m6,-132.8,-.29,11692543,11646259,11659025
1905m7,-130.4,-.25,11646259,11659025,11749769
1905m8,-126.5,-.2,11659025,11749769,11733323
1905m9,-123.8,-.2,11749769,11733323,11803681
1905m10,-126,-.28,11733323,11803681,11951009
1905m11,-129.1,-.12,11803681,11951009,11813618
1905m12,-133.2,-.22,11951009,11813618,11747557
1906m1,-130.2,-.29,11813618,11747557,11827105
1906m2,-127.9,-.33,11747557,11827105,11955632
1906m3,-126.5,-.19,11827105,11955632,12032309
1906m4,-127.3,-.06,11955632,12032309,12106738
1906m5,-123.9,-.22,12032309,12106738,12171231
1906m6,-122.5,-.15,12106738,12171231,11561168
1906m7,-120.7,-.24,12171231,11561168,11633581
1906m8,-123.8,-.14,11561168,11633581,11881312
1906m9,-123.3,-.24,11633581,11881312,11929895
1906m10,-124.1,-.18,11881312,11929895,11900408
1906m11,-126,-.41,11929895,11900408,12009599
1906m12,-127.2,-.17,11900408,12009599,11969728
1907m1,-127.9,-.46,12009599,11969728,12001770
1907m2,-124.8,-.52,11969728,12001770,11663791
1907m3,-123.6,-.3,12001770,11663791,11407170
1907m4,-121.2,-.49,11663791,11407170,11586654
1907m5,-123.5,-.52,11407170,11586654,11652221
1907m6,-121.6,-.47,11586654,11652221,11652903
1907m7,-124.8,-.41,11652221,11652903,11799311
1907m8,-122.2,-.42,11652903,11799311,11822802
1907m9,-130.1,-.31,11799311,11822802,11799169
1907m10,-131.5,-.27,11822802,11799169,11853850
1907m11,-136,-.45,11799169,11853850,11861192
1907m12,-132.9,-.46,11853850,11861192,12005406
1908m1,-129.5,-.44,11861192,12005406,11868240
1908m2,-127.5,-.29,12005406,11868240,11932577
1908m3,-127.6,-.5,11868240,11932577,11916012
1908m4,-129.8,-.44,11932577,11916012,11743345
1908m5,-130.9,-.37,11916012,11743345,11666798
1908m6,-126.3,-.29,11743345,11666798,11858999
1908m7,-125.7,-.27,11666798,11858999,11343276
1908m8,-123.3,-.37,11858999,11343276,11818936
1908m9,-128.5,-.25,11343276,11818936,11845395
1908m10,-132.7,-.33,11818936,11845395,11846041
1908m11,-134.7,-.41,11845395,11846041,11803532
1908m12,-133.8,-.41,11846041,11803532,11768725
1909m1,-126.1,-.58,11803532,11768725,11884977
1909m2,-123.5,-.4,11768725,11884977,11844243
1909m3,-119,-.45,11884977,11844243,11863126
1909m4,-121.8,-.47,11844243,11863126,11870314
1909m5,-124.6,-.44,11863126,11870314,12089492
1909m6,-129.2,-.43,11870314,12089492,11741918
1909m7,-127.4,-.35,12089492,11741918,11724671
1909m8,-128.2,-.22,11741918,11724671,11885602
1909m9,-124.7,-.24,11724671,11885602,11961514
1909m10,-124.8,-.24,11885602,11961514,11961932
1909m11,-122.9,-.2,11961514,11961932,11972281
1909m12,-124.3,-.41,11961932,11972281,11970246
1910m1,-125.7,-.36,11972281,11970246,11951277
1910m2,-129,-.35,11970246,11951277,12112805
1910m3,-128.3,-.38,11951277,12112805,12192965
1910m4,-127.9,-.37,12112805,12192965,12248069
1910m5,-123.1,-.38,12192965,12248069,12000037
1910m6,-122.4,-.37,12248069,12000037,11892969
1910m7,-120.2,-.24,12000037,11892969,12795018
1910m8,-122.8,-.26,11892969,12795018,11891516
1910m9,-122.8,-.33,12795018,11891516,11983879
1910m10,-124.8,-.35,11891516,11983879,11984204
1910m11,-125,-.44,11983879,11984204,12083037
1910m12,-125.8,-.59,11984204,12083037,12156997
1911m1,-125.8,-.55,12083037,12156997,12090791
1911m2,-122.3,-.51,12156997,12090791,12165239
1911m3,-119.5,-.54,12090791,12165239,12147234
1911m4,-119,-.52,12165239,12147234,12138641
1911m5,-120.2,-.46,12147234,12138641,12076871
1911m6,-119.6,-.43,12138641,12076871,12095618
1911m7,-118.5,-.28,12076871,12095618,12046791
1911m8,-112.5,-.31,12095618,12046791,11951605
1911m9,-109.6,-.28,12046791,11951605,12056245
1911m10,-106.5,-.22,11951605,12056245,12043360
1911m11,-111.1,-.21,12056245,12043360,12038612
1911m12,-112.9,-.22,12043360,12038612,12035719
1912m1,-120.3,-.27,12038612,12035719,12215113
1912m2,-122.1,-.13,12035719,12215113,12412228
1912m3,-125.6,-.34,12215113,12412228,12129926
1912m4,-125.5,-.25,12412228,12129926,12258870
1912m5,-124.4,-.24,12129926,12258870,12163710
